run,freq_Hz,period_s,idd_A,,,,
276,6.06E+06,1.65E-07,0.00012779,,,,
277,4.69E+06,2.13E-07,0.000126357,,,,
278,4.92E+06,2.03E-07,0.000130727,,,,
279,5.54E+06,1.80E-07,0.000128221,,,,
280,6.12E+06,1.63E-07,0.000133303,,,,
281,4.88E+06,2.05E-07,0.000129474,,,,
282,5.59E+06,1.79E-07,0.000128261,,,,
283,6.17E+06,1.62E-07,0.000121054,,,,
284,5.08E+06,1.97E-07,0.000130616,,,,
285,5.64E+06,1.77E-07,0.000130955,,,,
286,5.46E+06,1.83E-07,0.000127895,,,,
287,5.60E+06,1.79E-07,0.000129491,,,,
288,5.53E+06,1.81E-07,0.000126623,,,,
289,5.46E+06,1.83E-07,0.000123216,,,,
290,5.03E+06,1.99E-07,0.000127902,,,,
291,5.64E+06,1.77E-07,3.40E-05,,,,
292,5.60E+06,1.79E-07,0.000129228,,,,
293,5.97E+06,1.68E-07,0.000124458,,,,
294,5.92E+06,1.69E-07,0.000130432,,,,
295,5.84E+06,1.71E-07,0.000128871,,,,
296,6.08E+06,1.64E-07,0.000132365,,,,
297,5.33E+06,1.88E-07,0.000123479,,,,
298,5.51E+06,1.81E-07,0.000131483,,,,
299,6.17E+06,1.62E-07,0.000123714,,,,
300,5.03E+06,1.99E-07,0.000129531,,,,
301,4.94E+06,2.02E-07,0.000125456,,,,
302,5.56E+06,1.80E-07,0.000125022,,,,
303,6.40E+06,1.56E-07,0.000125005,,,,
304,5.72E+06,1.75E-07,0.000128015,,,,
305,6.11E+06,1.64E-07,0.000127957,,,,
306,6.65E+06,1.50E-07,0.000124768,,,,
307,5.49E+06,1.82E-07,0.000126077,,,,
308,6.48E+06,1.54E-07,0.000128441,,,,
309,5.39E+06,1.85E-07,0.000125682,,,,
310,5.37E+06,1.86E-07,0.000129795,,,,
311,5.28E+06,1.90E-07,0.000124816,,,,
312,5.92E+06,1.69E-07,0.000122641,,,,
313,5.66E+06,1.77E-07,0.000126823,,,,
314,6.36E+06,1.57E-07,0.00012803,,,,
315,5.72E+06,1.75E-07,0.000125556,,,,
316,5.63E+06,1.78E-07,0.000125127,,,,
317,6.03E+06,1.66E-07,0.000126708,,,,
318,6.03E+06,1.66E-07,0.00012799,,,,
319,5.68E+06,1.76E-07,0.00011705,,,,
320,5.92E+06,1.69E-07,0.000127144,,,,
