run,freq_Hz,period_s,idd_A
193,5.52E+06,1.81E-07,3.13E-05
194,6.26E+06,1.60E-07,2.94E-05
195,5.91E+06,1.69E-07,2.80E-05
196,6.75E+06,1.48E-07,3.12E-05
197,5.25E+06,1.90E-07,2.88E-05
198,5.94E+06,1.68E-07,3.11E-05
199,5.70E+06,1.76E-07,2.70E-05
200,6.18E+06,1.62E-07,3.27E-05
201,6.01E+06,1.66E-07,3.08E-05
202,4.56E+06,2.19E-07,2.98E-05
203,6.64E+06,1.51E-07,3.17E-05
204,5.38E+06,1.86E-07,2.94E-05
205,4.92E+06,2.03E-07,2.82E-05
206,3.73E+06,2.68E-07,2.99E-05
207,5.65E+06,1.77E-07,2.98E-05
208,5.69E+06,1.76E-07,2.72E-05
209,5.21E+06,1.92E-07,3.07E-05
210,5.81E+06,1.72E-07,2.98E-05
211,5.61E+06,1.78E-07,3.15E-05
212,5.45E+06,1.83E-07,2.90E-05
213,5.44E+06,1.84E-07,2.91E-05
214,5.92E+06,1.69E-07,3.10E-05
215,5.93E+06,1.69E-07,3.24E-05
216,5.41E+06,1.85E-07,3.09E-05
217,6.42E+06,1.56E-07,2.92E-05
218,5.80E+06,1.73E-07,3.11E-05
219,4.25E+06,2.35E-07,3.10E-05
220,6.19E+06,1.62E-07,2.94E-05
221,5.96E+06,1.68E-07,2.77E-05
222,5.47E+06,1.83E-07,3.06E-05
223,5.19E+06,1.93E-07,3.03E-05
224,6.18E+06,1.62E-07,3.15E-05
225,5.74E+06,1.74E-07,2.94E-05
226,5.11E+06,1.96E-07,3.03E-05
227,5.25E+06,1.90E-07,3.01E-05
228,5.79E+06,1.73E-07,3.15E-05
229,5.60E+06,1.79E-07,3.08E-05
230,5.27E+06,1.90E-07,3.03E-05
231,4.91E+06,2.04E-07,3.14E-05
232,5.79E+06,1.73E-07,3.02E-05
233,5.32E+06,1.88E-07,3.03E-05
234,5.47E+06,1.83E-07,3.16E-05
235,5.39E+06,1.85E-07,2.83E-05
236,6.29E+06,1.59E-07,2.99E-05
237,6.22E+06,1.61E-07,3.14E-05
238,4.99E+06,2.01E-07,3.16E-05
239,5.87E+06,1.70E-07,2.89E-05
240,5.66E+06,1.77E-07,3.07E-05
241,6.06E+06,1.65E-07,2.93E-05
242,5.24E+06,1.91E-07,3.03E-05
243,6.07E+06,1.65E-07,2.74E-05
244,5.93E+06,1.69E-07,3.21E-05
245,6.88E+06,1.45E-07,3.37E-05
246,5.74E+06,1.74E-07,3.00E-05
247,5.78E+06,1.73E-07,3.02E-05
248,6.31E+06,1.59E-07,3.43E-05
249,6.30E+06,1.59E-07,3.15E-05
250,6.36E+06,1.57E-07,2.93E-05
251,6.13E+06,1.63E-07,2.91E-05
252,5.53E+06,1.81E-07,2.85E-05
253,5.61E+06,1.78E-07,3.03E-05
254,5.87E+06,1.70E-07,3.25E-05
255,6.88E+06,1.45E-07,3.30E-05
256,5.51E+06,1.81E-07,3.07E-05
257,5.94E+06,1.68E-07,3.12E-05
258,5.88E+06,1.70E-07,3.35E-05
259,5.01E+06,2.00E-07,3.17E-05
260,5.98E+06,1.67E-07,2.93E-05
261,5.81E+06,1.72E-07,2.85E-05
262,6.68E+06,1.50E-07,3.05E-05
263,5.54E+06,1.80E-07,2.96E-05
264,6.40E+06,1.56E-07,3.12E-05
265,6.08E+06,1.64E-07,2.99E-05
266,5.55E+06,1.80E-07,2.86E-05
267,5.61E+06,1.78E-07,3.12E-05
268,5.78E+06,1.73E-07,3.16E-05
269,6.12E+06,1.63E-07,2.85E-05
270,6.52E+06,1.53E-07,3.33E-05
271,6.68E+06,1.50E-07,3.27E-05
272,5.52E+06,1.81E-07,2.83E-05
273,4.88E+06,2.05E-07,2.85E-05
274,5.71E+06,1.75E-07,2.94E-05
